1,Ann Arbor,MI,612 E Liberty,48104,734-668-7652,734-668-2455,Keith Bearup,"Mon-Sat 9-11, Sun 9-9,"
2,Columbus,OH,4545 Kenny Road,43220,614-451-2292,614-451-9590,Dale Ray,"M-Th 9-10, Fr-Sa 9-11, Su 9-9,"
3,Madison,WI,3750 University Ave,53705,608-232-2600,608-232-2616,Michael Chaim,"M-Th 9-10, Fr-Sa 9-11, Su 10-9,"
5,Emeryville,CA,5903 Shellmound Street,94608,510-654-1633,510-654-1367,Deb Tully,"M-Th 9-11, Fr-Sa 9-midnight Su 9-9,"
9,Pittsburgh,PA,1775 North Highland Road,15241,412-835-5583,412-835-5637,Jim Males,"Mon-Sat 9-11, Sun 9-9,"
10,Kensington,MD,11301 Rockville Pike,20895,301-816-1067,301-816-8940,Vickie Grohoske,"Mon-Sat 9-11, Sun 9-9,"
12,West Des Moines,IA,"4100 University Ave, Ste 115",50265,515-223-1620,515-223-5607,Trever Jayne,"M-TH 9-10, F-SA  9-11, SU 10-8,"
13,Boca Raton,FL,9887 Glades Rd,33434,561-883-5854,561-883-5073,Randy Ballen,"Mon-Sat 9-11, Sun 9-9,"
14,Beverly Hills,MI,31150 Southfield Road,48025,248-644-1515,248-644-6484,Christie Hickcox,"M-SA 9-10, SU 9-9,"
15,Atlanta,GA,"3637 Peachtree Rd, NE",30319,404-237-0707,404-237-7228,Laurel Gauthier,"Mon-Sat 9-11, Sun 9-10,"
16,Indianapolis,IN,5612 Castelton Corner Lane,46250,317-849-8660,317-841-7234,Steven Tracy,"Mon-Sat 9-10, Sun 10-8,"
17,Chestnut Hill,MA,Rt. 9 - 300 Boylston Street,02467,617-630-1120,617-630-9699,Kelly Higgins,"M-Th 10-10, Fr-Sa 10-11, Su 10-7,"
18,Tucson,AZ,4235 N Oracle Rd,85705,520-292-1331,520-292-5049,Kathryn Pellegrini,"Mon-Sat 9-11, Sun 9-9,"
20,Oak Brook,IL,"1500 16th Street, Suite D",60523,630-574-0800,630-574-2409,Bill Bychowski,"Mon-Sat 9-11, Sun 9-9,"
21,Philadelphia,PA,"1 S. Broad, Suite 100",19107,215-568-7400,215-568-7466,Chris Adams,"M-F 8-10, SA 9-10, SU 10-7,"
22,Rochester,NY,1000 Hylan Drive,14623,585-292-5900,585-292-1485,Susan Gollands,"M-TH 9-10, F/SA 9-11, SU 9-9"
23,Overland Park,KS,9108 Metcalf Avenue,66212,913-642-3642,913-642-3877,Mark Kohlhase,"Mon-Sat 9-11, Sun 9-9,"
25,Framingham,MA,85 Worcester Road,01701,508-875-2321,508-875-3205,Luke Sampson,"M-Th 10-10, Fr-Sa 10-11, Su 10-9,"
26,Marlton,NJ,515 Route 73 South,08053,856-985-5080,856--985-3023,Jackie Kerr,"Mon-Thurs 9-10, Fri/Sat 9-11, Sun 9-9,"
27,Minneapolis,MN,"3001 Hennepin Avenue, South",55408,612-825-0336,612-825-1076,Maria Zachmann,"Mon-Sat 10-10, Sun 10-6,"
28,Beachwood,OH,2101 Richmond Road,44122,216-292-2660,216-292-0039,Joni London,"M-Th 9-10, Fr-Sa 9-midnight, Su 10-9,"
29,Vienna,VA,"8027 Leesburg Pike, Ste 100",22182,703-556-7766,703-556-6458,April Lilley,"Mon-Sat 9-11, Sun 9-9,"
30,Bryn Mawr,PA,1149 Lancaster Ave.,19010,610-527-1500,610-527-8258,Charlotte Coley,"M-Th 9-10, Fr-Sa 9-11, Su 9-9,"
31,Minnetonka,MN,1501 Plymouth Road,55305,952-595-0977,952-595-0792,Dean Caranicas,"M-SA 10-10, Su 10-10"
32,Dallas,TX,"10720 Preston Road, Suite 1018",75230,214-363-1977,214-363-7099,Carlos Guajardo,"Mon-Sat 9-11, Sun 10-9,"
33,Deerfield,IL,49 S Waukegan Road,60015,847-559-1999,847-559-8692,Mark Kastner,"Mon-Sat 9-11, Sun 9-9,"
34,Paramus,NJ,230 Garden State Plaza,07652,201-712-1166,201-712-1250,Dan Zelinski,"M-Th 10-10, Fr-Sa 10-11, Closed on Su"
35,Albany,NY,59 Wolf Road,12205,518-482-5800,518-482-0724,Gary Mele,"Mon-Sun 9-11,"
36,Charlotte,NC,"3900 Colony Road, Suite F",28211,704-365-6261,704-364-4571,Kat LaBonte,"Mon-Sat 9-11, Sun 9-9,"
37,Cincinnati,OH,11711 Princeton Pike,45246,513-671-5852,513-671-8902,Geoff Gannon,"M-SA 10-11, SU 10-9"
38,Stamford,CT,1041 High Ridge Road,06905,203-968-9700,203-968-8099,Raffaelo Piccoli,"M-TH 9-10, F-SA 9-11, Sun 10-9,"
39,Cranston,RI,190 Hillside Rd,02920,401-944-9160,401-942-0430,Paul Steinhilber,"Mon-Sat 9-11, Sun 12-6,"
40,Bohemia,NY,5151 Sunrise Highway,11716,631-244-7496,631-244-7378,Tom Straub,"Mon-Sat 10-11, Sun 10-9,"
41,Lancaster,PA,940 Plaza Blvd,17601,717-293-8022,717-293-8530,Mark Diller,"Mon-Sat 9-11, Sun 11-9,"
43,Lutherville,MD,"170 W. Ridgely Rd., Suite 220",21093,(410) 453-0727,(410) 453-0726,Daniel Miller,"M-Th 10-10, Fr - Sa 10-11, Su 11-9,"
44,Farmingdale,NY,231 Airport Plaza,11735,631-752-0194,631-752-0344,Theresa Glover,"Mon-Sat 10-11, Sun 10-9,"
45,Baileys Crossroads,VA,5871 Crossroads Center Way,22041,703-998-0404,703-998-3161,Marty O'Leary,"Mon-Sat 9-11, Sun 9-9,"
48,Fort Worth,TX,4613 S Hulen,76132,817-370-9473,817-370-1282,Julie Powell,"Mon-Sat 9-11, Sun 10-9,"
49,Waipahu,HI,94-821 Lumiaina Street,96797,808-676-6699,808-676-8426,David Hull,"M-Th 9-10, Fr-Sa 9-11, Su 9-9,"
50,Washington,DC,1801 L Street,20006,202-466-4999,202-466-2403,Dan Kuehn,"M-F 8-9, Sat 10-9, Sun 10-6,"
51,White Plains,NY,60 S. Broadway,10601,914-421-1110,914-421-1813,Kathie Bannon,"M-Th 9-10, Fr-Sa 9-11, Su 10-9,"
53,Utica,MI,45290 Utica Park Boulevard,48315,586-726-8555,586-726-6794,Reg Roehl,"M-Th 10-10, Fr-Sa 10-11, Su 10-9,"
54,Phoenix,AZ,"2402 E Camelback Road, Suite 200",85016,602-957-6660,602-957-2404,Marsha Morris,"Mon-Sat 9-11, Sun 9-9,"
55,Farmington,CT,1600 South East Road,06032,860-674-8110,860-674-5257,Lisa Moretto,"Mon-Sat 9-11, Sun 9-9,"
56,Los Angeles,CA,1360 Westwood Boulevard,90024,310-475-3444,310-474-9627,Jamie Labriola,"M 11-10, Tu-Sa 11-11, Su 11-10,"
57,San Francisco,CA,400 Post Street,94102,415-399-1633,415-399-1898,John Bolduc,"M-Th 9-11, Fr-Sa 9-12 Su 9-11"
58,Chicago,IL,830 N Michigan,60611,312-573-0564,312-573-0120,Julie Johnson,"Mon-Sat 8-11, Sun 9-9,"
59,Peabody,MA,151 Andover Street,01960,978-538-3003,978-532-7187,Peter Sherman,"M-F 10-10, Sat 9-10, Sun 12-8,"
60,Manchester,CT,59 Pavilions Drive,06040,860-649-1433,860-648-5729,Melissa Elliott,"Mon-Sat 9-11, Sun 10-9,"
61,Schaumburg,IL,1540 Golf Road,60173,847-330-0031,847-330-0250,Phillip Weatherford,"Mon-Sat 9-11, Sun 9-9,"
62,Westlake,OH,30121 Detroit Road,44145,440-892-7667,440-892-4248,Rebecca Coste,"Mon-Sat 9-11, Sun 9-9,"
63,Fairlawn,OH,"3737 West Market St, Unit U",44333,330-666-7568,330-666-0285,Fred Van Patten,"Mon-Sat 9-11, Sun 9-9,"
64,Albuquerque,NM,"2100 Louisiana NE, Suite 40",87110,505-884-7711,505-884-6435,Erik Maun,"Mon-Sat 9-11, Sun 11-8,"
65,Portland,OR,708 SW Third,97204,503-220-5911,503-221-9837,Gregory Lasher,"Mon-Sun 9-9,"
66,Seattle,WA,1501 Fourth Avenue,98101,206-622-4599,206-622-8570,Bonnie Meyer,"Mon-Sat 9-10, Sun 9-9,"
69,Mesa,AZ,1361 S Alma School Road,85210,480-833-2244,480-833-1015,Gary Tchida,"Mon-Sat 9-11, Sun 9-9,"
70,Houston,TX,9633A Westheimer Road,77063,713-782-6066,713-782-0430,Kim Sheffield,"Mon-Sat 9-11, Sun 10-9,"
72,Mission Viejo,CA,25222 El Paseo,92691,949-367-0005,949-367-9503,Cidne Balzer,"M-Th 9-10, Fr-Su 9-11, Su 9-10"
73,Naperville,IL,336 South Route 59,60540,630-637-9700,630-637-1482,Susan Davis,"Mon-Sat 9-11, Sun 9-9,"
74,Pittsburgh,PA,1170 Northway Mall,15237,412-635-7661,412-635-7872,Kelli Maxwell,"Mon-Sat 9-11, Sun 9-9,"
75,Wilmette,IL,"3232 Lake Avenue, Suite 100",60091,847-256-3220,847-256-3386,Doug Rizzo,"Mon-Sat 9-11, Sun 9-9,"
78,Dallas,TX,5500 Greenville Avenue,75206,214-739-1166,214-265-0824,John Schober,"Mon-Sat 9-11, Sun 9-9,"
79,Stony Brook,NY,2130 Nesconset Highway,11790,631-979-0500,631-979-0679,Annette Linborg,"Mon-Sat 9-11, Sun 9-9"
81,Las Vegas,NV,2323 S Decatur Boulevard,89102,702-258-0999,702-258-1734,Stacy Swinford,"Mon-Sat 9-11, Sun 9-9,"
82,Philadelphia,PA,8701 Germantown Avenue,19118,215-248-1213,215-248-3220,Linda Cavileer,"M-Th 10-10, Fr-Sa 10-11, Su 10-9,"
84,Wayne,NJ,80 Wayne Town Center,07470,973-785-0037,973-785-8831,Lynn Kassover,"M-Th 10-10, Fr  10-11, Sa 9-11, Su 9-8,"
85,Arlington,VA,1201 Hayes Street,22202,703-418-0166,703-414-8936,Jimmy Castleman,"Mon-Sat 10-11, Sun 10-8,"
86,Torrance,CA,3700 Torrance Blvd,90503,310-540-7000,310-316-9258,Jodi Katz,"M-Th 9-11, Fr-Sa 9-12 Su 9-10,"
87,Milpitas,CA,15 Ranch Drive,95035,408-934-1180,408-934-9627,Kim Sanchez,"Mon-Sat 9-11, Sun 9-9,"
88,Anchorage,AK,1100 E Dimond Blvd,99515,907-344-4099,907-344-6912,Grant Larsen,"M-Th 9-11, Fr-Sa 9-12 Su 9-11,"
89,Columbia,MD,6151 Columbia Crossing Circle,21045,410-290-0062,410-312-4995,Lorie Walker,"Mon-Sat 9-11, Sun 10-10"
90,Plano,TX,"1601 Preston Road, Suite J",75093,972-713-9857,972-713-9135,Jerry Lipson,"Mon-Sat 9-11, Sun 9-9,"
91,Coral Springs,FL,700 University Drive,33071,954-340-3307,954-344-9833,Chris Graham,M-F 10-11 Sat 9-11 Sun 10-9
92,Glen Allen,VA,9750 W Broad St,23060,804-965-0733,804-527-7495,Wayne Rotella,"Mon-Thur 10-10, Fri/Sat 10-11, Sun 10-8"
93,Santa Monica,CA,1415 Third Street Promenade,90401,310-393-9290,310-458-6023,Becky Glenn,"Su-Th 9-11, Fr ; Sa 9-midnight"
94,Bridgewater,NJ,290 Commons Way,08807,908-231-0111,908-231-8869,Marty Gilbert,"Mon-Sat 9-11, Sun 9-9,"
95,Lihue,HI,4303 Nawiliwili,96766,808-246-0862,808-246-6847,Helaine Perel,Mon-Sun 9-9
96,Honolulu,HI,1200 Ala Moana Blvd,96814,808-591-8995,808-596-8190,Diane DeCorte,"M-Th 9-11, Fr-Sa 9-12, Su 9-10,"
97,Gaithersburg,MD,534 N Frederick Avenue,20877,301-921-0990,301-527-6970,Charles Dukes,Mon-Sat 10-11 Sun 10-8
98,Palo Alto,CA,456 University Avenue,94301,650-326-3670,650-326-3791,Pam Parsons,"Mon-Sun 9-10,"
99,Syracuse,NY,9777 Carousel Center Drive,13290,315-466-6100,315-466-8109,Terry Cahill,"Mon-Sat 9-11, Sun 9-9"
100,Cheektowaga,NY,2015 Walden Avenue,14225,716-685-2844,716-685-2294,Dan Zicari,"M-Th 9-11, Fr-Sa 9-midnight Su 10-10,"
102,Los Angeles,CA,330 S La Cienega Blvd,90048,310-659-4045,310-659-4638,David Salas,M-SU  10-11
103,Austin,TX,10225 Research Boulevard,78759,512-795-9553,512-795-8159,Matt Weissler,"Mon-Sat 9-11, Sun 10-11,"
104,Dunwoody,GA,4745 Ashford-Dunwoody Road,30338,770-396-0004,770-604-9672,Michelle Allison,"M-F 10-11, Sat 9-11, Sun 9-9,"
105,Montclair,CA,5055 S Plaza Lane,91763,909-625-0424,909-625-1297,Lyly Bird,"M-Th 10-11, Fr-Sa 10-12 Su 10-10,"
106,Indianapolis,IN,8675 River Crossing Blvd,46240,317-574-1775,317-816-0134,Richard Branch,Mon-Sun 9-9
107,Boise,ID,1123 N Milwaukee,83704,208-322-6668,208-322-6563,Ben Seely,"SU-TH 9-10, F-SA 9-11"
108,Norman,OK,300 Norman Center Court,73072,405-573-4907,405-573-2698,Dan Bye,"Mon-Sat 9-11, Sun 10-10,"
109,Overland Park,KS,12055 Metcalf Avenue,66213,913-663-2356,913-663-2284,Amy Lind,"M-TH 9-10, F-SA  9-11, SU 9-9,"
110,Sunset Hills,MO,10990 Sunset Hills Plaza,63127,314-909-0300,314-909-0791,Susan Allen,"Mon-Sat 9-11, Sun 9-9,"
113,Creve Coeur,MO,11745 Olive Blvd,63141,314-432-3575,314-432-4789,James Schwentker,"Mon-Sat 9-11, Sun 9-9,"
114,Germantown,TN,6685 Poplar Avenue,38138,901-754-0770,901-754-8719,Lori Gresham,"M-Th 9-10, Fr-Sa 9-11, Su 10-9,"
115,Bloomington,IN,2634 E. Third Street,47401,812-333-5500,812-333-5682,Dulcie Holtz,"Mon-Sat 9-11, Sun 9-11,"
116,Dayton,OH,2040 Miamisburg Centerville Rd,45459,937-434-3800,937-434-2869,Kristy Conlin,"M-Th 9-10, Fr & Sa 9-11, Su 10-9,"
117,Pleasanton,CA,4575 Rosewood Drive,94588,925-227-1412,925-227-1426,Kim Hunt,"Mon-Sat 9-11, Sun 9-9,"
118,Thousand Oaks,CA,125 W Thousand Oaks Blvd,91360,805-497-8159,805-496-9371,Alix Alexander,"M-Th 10-11, Fr-Sa 10-12 Su 10-10,"
119,Brea,CA,429 South Associated Rd,92821,714-672-0120,714-672-0140,L Leigh,"M-Th 9-10, Fr-Sa 9-11, Su 9-10,"
120,Boston,MA,10-24 School Street,02108,617-557-7188,617-557-4476,Dan Durica,"M-F 7-9, Sat 8-9, Sun 10-8,"
122,Wichita,KS,1715 Rock Rd & 13th Street,67206,316-634-0800,316-634-2004,Jennifer Schroeder,"Mon-Sat 9-11, Sun 9-9,"
123,Omaha,NE,13105 Birch Street,68164,402-493-9994,402-431-9687,Nancy Johnsen,"Mon-Sat 9-11, Sun 9-9,"
124,Ft Lauderdale,FL,2240 E Sunrise Blvd,33304,954-566-6335,954-630-0251,Jorge Cuevas,"Mon-Sat 9-11, Sun 9-9,"
125,Bangor,ME,116 Bangor Mall Blvd,04401,207-990-3300,207-990-5768,Troy Casa,"Mon-Sat 9-11, Sun 9-9,"
126,Tukwila,WA,"17501 Southcenter Parkway, Suite 200",98188,206-575-4506,206-575-1888,Denise Morris,"M-Th 10-10, Fr-Sa 10-11, Su 10-9,"
129,Santa Barbara,CA,900 State Street,93101,805-899-3668,805-899-9209,Cheryl Tovar,"M-Th 9-10, Fr-Sa 9-11, Su 9-10,"
130,Roseville,CA,"2030 Douglas Blvd, Suite 9",95661,916-784-1088,916-784-6735,Raven Gillis,"Mon-Sat 9-11, Sun 9-9,"
131,Princeton,NJ,"601 Nassau Park, Bldg G",08540,609-514-0040,609-514-1496,Tracey Regester,"M-TH 9-10, F-SA 9-11, SU 9-9"
132,Cary,NC,1751 Walnut Street,27511,919-469-1930,919-469-1743,Sandra Rutcho,"Mon-Sat 9-11, Sun 9-10"
133,South Portland,ME,430 Gorham Rd,04106,207-775-6110,207-871-1863,Gail Sanborn,"Mon-Sat 9-11, Sun 9-9,"
134,Greensboro,NC,3605 High Point Rd,27407,336-218-0662,336-218-0976,Joy Merdan,"Mon-Sat 9-11, Sun 9-9,"
135,Tulsa,OK,2740 R 21st Street,74114,918-712-9955,918-712-2669,Molly Fulton,"Mon-Sun 9-11,"
136,N. Canton,OH,"6751 Strip Avenue, NW",44720,330-494-4776,330-497-8425,Kim Borcoman,"Mon-Sat 9-11, Sun 9-9,"
137,Wilmington,DE,4221 Concord Pike,19803,302-477-0361,302-479-0458,Tim Snook,"M-TH 9-10, F-SA 9-11, SU 9-9"
138,Eau Claire,WI,4030 Commonwealth Ave,54701,715-832-2852,715-832-5897,Mark Diers,"M-Th 10-10, Fr-Sa 10-11, Su 10-9,"
139,Long Beach,CA,2110 Bellflower Blvd,90815,562-799-0486,562-430-6196,Vanessa Cota,"Mon-Sat 9-11, Sun 9-10,"
140,Stafford,TX,12788 Fountain Lake Circle,77477,281-240-6666,281-240-6705,Jean Clark,"Mon-Sat 10-10, Sun 11-9,"
141,San Mateo,CA,2925 El Camino Reala,94403,650-286-1895,650-286-1896,Kara Worden,"M-Sa 9-11, Su 9-9,"
143,Monroeville,PA,200 Mall Blvd,15146,412-374-9772,412-374-9424,Jim Shoaf,"Mon-Sat 9-11, Sun 9-9,"
144,Evanston,IL,1700 Maple Avenue,60201,847-733-8852,847-733-8960,Gideon Berger,"M-Th 10-10, Fr-Sa 10-11, Su 10-9,"
145,San Antonio,TX,11745 I H-10 West,78230,210-561-0022,210-696-8019,Susan Rigg,"Mon-Sat 9-11, Sun 10-9,"
146,Lewisville,TX,"2403 S Stemmons, Suite 100",75067,972-459-2321,972-459-2485,Jeremy Smoot,"M-Th 9-10, Fr-Sa 9-11, Su 10-9,"
147,Henderson,NV,1445 West Sunset Rd,89014,702-433-6222,702-433-2964,Dwayne Hushaw,"M-Th 10-10, Fr 10-11, Sa 9-11, Su 9-9,"
149,Glendale,CA,100 S Brand Blvd,91204,818-241-8099,818-241-2135,Amber West,Daily 10-11
150,Boynton Beach,FL,525 North Congress Avenue,33426,561-734-2021,561-734-5405,Isabel Vasallo,"M-Th 9-10, Fr-Sa 9-11, Su 9-9,"
151,Oklahoma City,OK,3209 Northwest Expressway,73112,405-848-2667,405-858-9069,Wilbur McKiddy,"M-Th 10-11, Fr-Sa 9-11, Su 10-9,"
152,Beaverton,OR,2605 SW Cedar Hills Blvd,97005,503-644-6164,503-644-1498,Michael Davis,"M-TH 9-10, F 9-11, SU 10-9"
153,"Kahului, Maui",HI,"270 Dairy Rd., Suite 190",96732,808-877-6160,808-871-2966,William Nakamura,"M-Th 9-10, Fr & Sa 9-11, Su 9-9,"
163,Englewood,CO,9515 E. County Line Road,80112,303-708-1735,303-708-1746,David Hauck,"Mon-Sat 10-10, Sun 10-7,"
164,Strongsville,OH,17200 Royalton Road,44136,440-846-1144,440-846-2964,Mike Sumser,"Mon-Sat 9-11, Sun 9-9,"
166,Omaha,NE,7201 Dodge Street,68114,402-393-5576,402-393-8757,Tierza Twork,"Mon-Sat 9-11, Sun 9-9,"
167,Tigard,OR,7227 SW Bridgeport Road,97224,503-968-7576,503-684-8425,Judy George,"Mon-Sat 9-11, Sun 10-9,"
168,Traverse City,MI,2612 Crossings Circle,49684,231-933-0412,231-933-9812,Kathy Dittenbir,"Mon-Sat 10-11, Sun 10-9,"
169,Orland Park,IL,15260 S La Grange Road,60462,708-460-7566,708-460-7683,Mike Leyden,"Mon-Sat 9-11, Sun 9-9,"
170,Glendale,AZ,7320 West Bell Rd.,85308,623-487-9110,623-487-9104,Delores Rangel,"Mon-Sat 9-11, Sun 9-9,"
171,Tampa,FL,12500 N Dale Mabry,33618,813-265-8455,813-269-4610,Renee Montgomery,"Mon-Sat 9-11, Sun 9-9,"
172,Columbus,OH,6670 Sawmill Road,43235,614-718-9099,614-760-0015,Bryan Swann,"Mon-Sat 10-10, Sun 10-9,"
173,Wheaton,IL,101 Rice Lake Square,60187,630-871-9595,630-871-5721,Linda Arquilla,"Mon-Sat 9-11, Sun 9-9,"
174,Bowie,MD,4420 Mitchellville Rd.,20716,301-352-5560,301-352-5571,John Shenk,"Mon-Sat 9-11, Sun 9-9,"
175,Reading,PA,1075 Woodland Rd,19610,610-373-0377,610-373-0380,Peter Adams,"M-TH 9-10,  F-SA 9-11, Sun 9-9"
176,Highland,IN,10135 Indianapolis Blvd.,46322,219-922-1103,219-922-4912,John Bodnar,"Mon-Sat 9-11, Sun 9-9"
177,York,PA,3000 Whiteford Road,17402,717-755-0800,717-757-2161,Jim Stroup,"Mon-Sat 9-11, Sun 9-9,"
178,Flint,MI,4135 Miller Rd,48532,810-230-8830,810-230-0754,Patricia Toth,"Mon-Sat 9-11, Sun 9-9,"
179,Commack,NY,68 Veterans Memorial Highway,11725,631-462-0569,631-462-7844,Mimi Scarpulla,"M-Th 10-11, Sa 9-11, 9-9"
180,Birmingham,MI,34300 Woodward,48009,248-203-0005,248-723-0007,Bill Ebensperger,"Mon-Sat 9-10, Sun 9-9,"
181,Altamonte Springs,FL,880 W. State Road 436,32714,407-772-0411,407-772-0635,Anne Hall,"Mon-Sat 9-11, Sun 9-9"
